ara-deu	Arabic	German	1209	5388	6880	1000	4493	5720	13239172	90602185	103167418	
ara-ell	Arabic	Modern Greek (1453-)	425	1361	1547				23054792	135984317	148979033	
ara-eng	Arabic	English	10000	50193	62449	19362	98214	121929	59297336	823841188	946695817	
ara-fra	Arabic	French	1569	6780	9641				48294037	763226718	1029890502	
ara-heb	Arabic	Hebrew	1208	5301	5440				21424031	125396707	121528893	
ara-ita	Arabic	Italian	235	978	1232				19508426	119545304	139009922	
ara-pol	Arabic	Polish	207	848	923				24823273	162924775	149406607	
ara-rus	Arabic	Russian	3715	15750	17317	1000	4146	4572	42060441	683925929	698226044	
ara-spa	Arabic	Spanish	1511	6311	8031	1000	4269	5322	55008023	801297769	1039371226	
ara-tur	Arabic	Turkish	1263	6038	5439				26761558	158531275	140434065	
bul-deu	Bulgarian	German	313	1626	1810				19589545	190018052	193724630	
bul-eng	Bulgarian	English	10000	56740	60705	7754	43780	46863	45193558	367577550	412154669	
bul-fra	Bulgarian	French	446	2698	3206				28505846	243709390	277953071	
bul-ita	Bulgarian	Italian	2500	13344	14074	4006	21635	22681	25502697	222781898	242393011	
bul-rus	Bulgarian	Russian	1247	6556	6155	1000	5175	4800	16463962	104155587	103455994	
bul-spa	Bulgarian	Spanish	286	1359	1460				36837157	288593794	324385920	
bul-tur	Bulgarian	Turkish	833	5257	3991				28874096	175946613	151651255	
bul-zho	Bulgarian	Chinese	416	2548	423				10117586	57844636	17815192	
ces-deu	Czech	German	3490	18205	22412	1000	5482	6817	26336391	259318930	284350454	
ces-eng	Czech	English	10000	52129	64235	13217	69036	84790	55931512	484143594	567376837	
ces-fra	Czech	French	425	2098	2808				35982979	313592641	383706203	
